created_at,total_order_count
26-11-2021,4
27-11-2021,5
24-11-2021,5
30-11-2021,1
01-12-2021,3
04-12-2021,3
03-12-2021,1
06-12-2021,3
05-12-2021,1
09-12-2021,1
08-12-2021,4
17-12-2021,2
27-12-2021,1
29-12-2021,1
08-01-2022,3
10-01-2022,2
11-01-2022,5
14-01-2022,1
12-01-2022,1
24-01-2022,2
28-01-2022,2
01-02-2022,2
05-02-2022,3
10-02-2022,124
11-02-2022,124
12-02-2022,130
13-02-2022,186
14-02-2022,202
15-02-2022,61
16-02-2022,101
17-02-2022,105
18-02-2022,154
19-02-2022,146
20-02-2022,100
21-02-2022,8
22-02-2022,156
23-02-2022,400
24-02-2022,120
25-02-2022,144
26-02-2022,7
27-02-2022,226
28-02-2022,121
01-03-2022,101
28-07-2020,4
27-07-2020,6
26-07-2020,1
25-07-2020,4
24-07-2020,1
01-01-1970,2
13-07-2018,1
16-07-2018,1
19-07-2018,2
27-07-2018,1
31-07-2018,1
03-08-2018,1
11-08-2018,1
13-08-2018,1
21-08-2018,1
23-08-2018,1
01-09-2018,1
02-09-2018,1
03-09-2018,1
04-09-2018,1
05-09-2018,1
06-09-2018,1
07-09-2018,1
08-09-2018,1
09-09-2018,1
10-09-2018,1
11-09-2018,2
12-09-2018,8
13-09-2018,1
14-09-2018,4
15-09-2018,2
16-09-2018,4
17-09-2018,1
18-09-2018,1
19-09-2018,8
20-09-2018,1
21-09-2018,1
22-09-2018,5
23-09-2018,5
24-09-2018,8
25-09-2018,2
26-09-2018,3
27-09-2018,4
28-09-2018,4
29-09-2018,2
30-09-2018,9
01-10-2018,3
02-10-2018,5
03-10-2018,1
04-10-2018,9
05-10-2018,7
06-10-2018,5
07-10-2018,5
08-10-2018,1
09-10-2018,9
10-10-2018,4
11-10-2018,2
12-10-2018,3
13-10-2018,9
14-10-2018,7
15-10-2018,2
16-10-2018,2
17-10-2018,5
18-10-2018,2
19-10-2018,8
20-10-2018,7
21-10-2018,5
22-10-2018,1
23-10-2018,1
24-10-2018,1
25-10-2018,1
26-10-2018,5
27-10-2018,3
28-10-2018,12
29-10-2018,2
30-10-2018,9
31-10-2018,18
01-11-2018,2
02-11-2018,3
03-11-2018,4
04-11-2018,7
05-11-2018,4
06-11-2018,5
07-11-2018,5
08-11-2018,1
09-11-2018,16
10-11-2018,11
11-11-2018,3
12-11-2018,2
13-11-2018,1
14-11-2018,7
15-11-2018,8
16-11-2018,8
17-11-2018,5
18-11-2018,17
19-11-2018,4
20-11-2018,1
21-11-2018,13
22-11-2018,1
23-11-2018,4
24-11-2018,8
25-11-2018,6
26-11-2018,4
27-11-2018,1
28-11-2018,12
29-11-2018,5
30-11-2018,11
01-12-2018,6
02-12-2018,5
03-12-2018,3
04-12-2018,4
05-12-2018,35
23-07-2020,9
22-07-2020,7
06-12-2018,5
07-12-2018,5
08-12-2018,1
09-12-2018,4
10-12-2018,5
11-12-2018,5
12-12-2018,22
13-12-2018,2
14-12-2018,10
15-12-2018,14
16-12-2018,3
17-12-2018,2
18-12-2018,1
19-12-2018,8
20-12-2018,2
21-12-2018,8
22-12-2018,5
23-12-2018,1
24-12-2018,12
25-12-2018,6
26-12-2018,11
27-12-2018,3
28-12-2018,29
29-12-2018,2
30-12-2018,3
31-12-2018,7
01-01-2019,7
02-01-2019,3
03-01-2019,1
04-01-2019,9
05-01-2019,2
06-01-2019,7
07-01-2019,2
08-01-2019,3
09-01-2019,4
10-01-2019,2
11-01-2019,5
12-01-2019,1
13-01-2019,4
14-01-2019,4
15-01-2019,3
16-01-2019,4
17-01-2019,4
18-01-2019,10
19-01-2019,8
20-01-2019,13
21-01-2019,2
22-01-2019,1
23-01-2019,22
24-01-2019,4
25-01-2019,8
26-01-2019,5
27-01-2019,3
28-01-2019,4
29-01-2019,4
